Name,Team,Number,Position,Age,Height,Weight,College,Salary
Vince Carter,Memphis Grizzlies,15,SG,39,43622,220,North Carolina,4088019
Wayne Ellington,Brooklyn Nets,21,SG,28,43620,200,North Carolina,1500000
Wesley Johnson,Los Angeles Clippers,33,SF,28,43623,215,Syracuse,1100602
Wesley Matthews,Dallas Mavericks,23,SG,29,43621,220,Marquette,16407500
Will Barton,Denver Nuggets,5,SF,25,43622,175,Memphis,3533333
Willie Cauley-Stein,Sacramento Kings,0,C,22,36708,240,Kentucky,3398280
Willie Reed,Brooklyn Nets,33,PF,26,43626,220,Saint Louis,947276
Wilson Chandler,Denver Nuggets,21,SF,29,43624,225,DePaul,10449438
Zach LaVine,Minnesota Timberwolves,8,PG,21,43621,189,UCLA,2148360
Zach Randolph,Memphis Grizzlies,50,PF,34,43625,260,Michigan State,9638555
